"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9010","cart count becomes 0 after removing all items","chromium","Sat Mar 28 01:12:49 IST 2026","passed","Sat Mar 28 01:12:58 IST 2026","Cart Negative Flow","cart-negative.spec.js","",""
"","5979","get started link","chromium","Sat Mar 28 01:13:04 IST 2026","passed","Sat Mar 28 01:13:09 IST 2026","","example.spec.js","",""
"","3651","has title","chromium","Sat Mar 28 01:13:03 IST 2026","passed","Sat Mar 28 01:13:07 IST 2026","","example.spec.js","",""
"","3263","Valid Login","chromium","Sun Dec 07 13:17:46 IST 2025","passed","Sun Dec 07 13:17:49 IST 2025","Login Tests","login.spec.js","",""
"","3264","Shows error when last name is missing","chromium","Sat Mar 28 01:12:59 IST 2026","passed","Sat Mar 28 01:13:02 IST 2026","Checkout Negative Flow","checkout-negative.spec.js","",""
"","2955","Invalid Login","chromium","Sun Dec 07 13:17:46 IST 2025","passed","Sun Dec 07 13:17:49 IST 2025","Login Tests","login.spec.js","",""
"","2289","Problem user can still access inventory page","chromium","Sat Mar 28 01:13:07 IST 2026","passed","Sat Mar 28 01:13:10 IST 2026","Fixture Example tests","fixtures-example.spec.js","",""
"","3145","Complete checkout with user 1","chromium","Sat Mar 28 01:13:00 IST 2026","passed","Sat Mar 28 01:13:03 IST 2026","Parameterized Checkout Tests","checkout-parameterized.spec.js","",""
"","5756","Complete full checkout order","webkit","Sun Dec 07 13:19:41 IST 2025","passed","Sun Dec 07 13:19:47 IST 2025","Checkout Flow","checkout.spec.js","",""
"","1775","Remove product from cart","chromium","Sat Mar 28 01:13:16 IST 2026","passed","Sat Mar 28 01:13:18 IST 2026","Products Tests","products.spec.js","",""
"","1951","shows error for invalid password","chromium","Sat Mar 28 01:13:09 IST 2026","passed","Sat Mar 28 01:13:11 IST 2026","Login Negative Flow","login-negative.spec.js","",""
"","3782","Verify products load & add to cart","chromium","Sat Mar 28 01:13:12 IST 2026","passed","Sat Mar 28 01:13:16 IST 2026","Products Tests","products.spec.js","",""
"","10440","shows validation error when checking out empty cart with blank info","chromium","Sat Mar 28 01:12:50 IST 2026","passed","Sat Mar 28 01:13:00 IST 2026","Cart Negative Flow","cart-negative.spec.js","",""
"","3028","Complete checkout with user 2","chromium","Sat Mar 28 01:13:00 IST 2026","passed","Sat Mar 28 01:13:03 IST 2026","Parameterized Checkout Tests","checkout-parameterized.spec.js","",""
"","10616","Verify products load & add to cart","webkit","Sun Dec 07 13:19:35 IST 2025","passed","Sun Dec 07 13:19:45 IST 2025","Products Tests","products.spec.js","",""
"","9822","Invalid Login","webkit","Sun Dec 07 13:19:33 IST 2025","passed","Sun Dec 07 13:19:43 IST 2025","Login Tests","login.spec.js","",""
"","3317","Shows error when postal code is missing","chromium","Sat Mar 28 01:12:59 IST 2026","passed","Sat Mar 28 01:13:02 IST 2026","Checkout Negative Flow","checkout-negative.spec.js","",""
"","2006","shows error when username is empty","chromium","Sat Mar 28 01:13:10 IST 2026","passed","Sat Mar 28 01:13:12 IST 2026","Login Negative Flow","login-negative.spec.js","",""
